sector,hora,timestamp,zona,tramo,consumo_base_m3,consumo_proyectado_m3,multiplicador_llm,confianza_llm,variacion_pct,alerta,p85_historico,p15_historico,factores_activos
1 CIUDAD JARDÍN,0,2026-04-29 00:00:00,ZONA_NORTE,noche,40.012,40.062,1.0013,0.85,0.13,🟢 NORMAL,22.618,13.729,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 1.02, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,1,2026-04-29 01:00:00,ZONA_NORTE,noche,23.905,23.935,1.0013,0.85,0.13,🟢 NORMAL,33.475,17.2,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 1.02, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,2,2026-04-29 02:00:00,ZONA_NORTE,noche,23.224,23.254,1.0013,0.85,0.13,🟢 NORMAL,32.81,16.45,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 1.02, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,3,2026-04-29 03:00:00,ZONA_NORTE,noche,23.224,23.254,1.0013,0.85,0.13,🟢 NORMAL,32.02,15.6,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 1.02, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,4,2026-04-29 04:00:00,ZONA_NORTE,noche,27.989,28.024,1.0013,0.85,0.13,🟢 NORMAL,22.65,14.5,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 1.02, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,5,2026-04-29 05:00:00,ZONA_NORTE,noche,32.759,32.8,1.0013,0.85,0.13,🟢 NORMAL,21.2,13.035,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 1.02, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,6,2026-04-29 06:00:00,ZONA_NORTE,manana,29.309,29.309,1.0,0.85,0.0,🟢 NORMAL,20.81,13.398,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_manana': 1.0, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,7,2026-04-29 07:00:00,ZONA_NORTE,manana,16.204,16.204,1.0,0.85,0.0,🟢 NORMAL,30.935,16.455,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_manana': 1.0, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,8,2026-04-29 08:00:00,ZONA_NORTE,manana,4.176,4.176,1.0,0.85,0.0,🟢 NORMAL,34.52,17.36,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_manana': 1.0, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,9,2026-04-29 09:00:00,ZONA_NORTE,manana,102.127,102.127,1.0,0.85,0.0,🟢 NORMAL,46.45,20.85,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_manana': 1.0, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
